Код	Описание
LLM-5.2	Встраивает промпты в пайплайн взаимодействия
LLM-5.3	Настраивает API для работы с LLM
LLM-5.4	Разрабатывает дизайн и структуру промптов
LLM-5.6	Анализирует и отлаживает промпты
FC-1.1	Разрабатывает новые алгоритмы машинного обучения и проводит исследования в области ИИ
FC-1.2	Разрабатывает новые архитектуры глубоких нейросетей
FC-1.3	Развивает методы ускорения обучения
FC-1.4	Разрабатывает системы распределённого и федеративного обучения
FC-2.1	Проводит исследования в области больших языковых моделей (LLM)
FC-2.2	Разрабатывает диффузионные модели для генерации изображений
FC-2.3	Разрабатывает мультимодальные трансформеры для объединения модальностей
FC-3.1	Применяет обучение с подкреплением для решения задач последовательного принятия решений
FC-3.2	Разрабатывает мультиагентные системы с кооперативными агентами
FC-3.3	Разрабатывает системы распределённого искусственного интеллекта и коллективного интеллекта
FC-4.3	Разрабатывает системы гибридного искусственного интеллекта
FC-4.5	Разрабатывает системы вещественного ИИ (embodiment)
FC-5.1	Обеспечивает защиту от злоупотреблений ИИ и безопасность на всех этапах жизненного цикла
FC-5.3	Выявляет уязвимости ИИ-систем, разрабатывает методы защиты и обеспечивает устойчивость к атакам
O-1.1	Применяет методы управления знаниями, онтологии и графы знаний для структурирования и извлечения информации
